代码,名称,最新股东数,最早股东数,总降幅(%),最新日期,最早日期,第1期人数,第1期日期,第2期人数,第2期日期
003041,真爱美家,10919,14039,-22.22,2026-01-10,2025-12-31,10919,2026-01-10,14039,2025-12-31
600725,云维股份,30700,38600,-20.47,2026-01-10,2025-12-20,30700,2026-01-10,38600,2025-12-20
002225,濮耐股份,40780,47783,-14.66,2026-01-10,2025-11-30,40780,2026-01-10,47783,2025-11-30
603186,华正新材,17566,20180,-12.95,2026-01-10,2025-12-31,17566,2026-01-10,20180,2025-12-31
300559,佳发教育,15475,17252,-10.3,2026-01-10,2025-11-30,15475,2026-01-10,17252,2025-11-30
603966,法兰泰克,21322,23669,-9.92,2026-01-10,2025-12-31,21322,2026-01-10,23669,2025-12-31
300859,西域旅游,25165,27561,-8.69,2026-01-10,2025-12-19,25165,2026-01-10,27561,2025-12-19
301221,光庭信息,14448,15662,-7.75,2026-01-10,2025-12-31,14448,2026-01-10,15662,2025-12-31
002912,中新赛克,22919,23881,-4.03,2026-01-10,2025-12-31,22919,2026-01-10,23881,2025-12-31
002467,二六三,145267,149384,-2.76,2026-01-10,2025-12-31,145267,2026-01-10,149384,2025-12-31
603421,鼎信通讯,31363,32206,-2.62,2026-01-10,2025-12-20,31363,2026-01-10,32206,2025-12-20
002445,中南文化,53406,54670,-2.31,2026-01-10,2025-12-31,53406,2026-01-10,54670,2025-12-31
601956,东贝集团,35904,36701,-2.17,2026-01-10,2025-12-31,35904,2026-01-10,36701,2025-12-31
300247,融捷健康,31354,32010,-2.05,2026-01-10,2025-12-19,31354,2026-01-10,32010,2025-12-19
688280,精进电动,17113,17468,-2.03,2026-01-10,2025-12-31,17113,2026-01-10,17468,2025-12-31
301028,东亚机械,17210,17519,-1.76,2026-01-10,2025-12-31,17210,2026-01-10,17519,2025-12-31
600433,冠豪高新,43561,44211,-1.47,2026-01-10,2025-12-31,43561,2026-01-10,44211,2025-12-31
002041,登海种业,63104,63792,-1.08,2026-01-10,2025-12-31,63104,2026-01-10,63792,2025-12-31
